DIA CERO,FECHA PRODUCCIÓN,ID PROGRAMA,PRECIO CURSO,FACTURACIÓN NETA,IMPORTE INSCRIPCIÓN,% INSCRIPCION,MEDIO PAGO PI,IMPORTE PENDIENTE PAGO,MEDIO PAGO IMPORTE PENDIENTE,NUMERO DE CUOTAS,FECHA 1ra CUOTA,FORMA DE PAGO,ASESOR,FECHA 1ra CUOTA ORIGINAL,FORMA DE PAGO ORIGINAL,TIPO PROGRAMA,NACIONALIDAD,PAÍS DE RESIDENCIA,AGRUPACION NACIONALIDAD,AGRUPACION PAÍS DE RESIDENCIA,MANTIENE MEDIO PAGO,DIFERENCIA PI vs. IMPORTE PTE,DIFERENCIA FECHA 1ra CUOTA - ORIGINAL,DIFERENCIA FECHA PRODUCCIÓN - 1ra CUOTA,% DTO,Moroso,% Impagado Actual Vdo,Importe Impagado Actual,Importe Cobrado
False,2023-09-13,700,7700.0,5069.29,759.38,0.1498000706213296,PAYBAY,4309.91,LINK DE PAGO,12,2024-04-01,APLAZADO,Carlos Vazquez,2024-04-01,APLAZADO,MST,Nicaragua,Nicaragua,R. LATAM,R. LATAM,False,False,0.0,201.0,0.34165064935064937,False,0.0,0.0,2914.5999999999995
False,2023-08-18,700,7700.0,3859.37,721.41,0.18692429075211758,TARJETA,3137.96,TARJETA,14,2024-04-01,APLAZADO,Daniela Cabello,2024-03-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,True,True,31.0,227.0,0.49878311688311694,False,0.0,0.0,3859.1
False,2023-08-25,110,7500.0,4328.43,649.3,0.15000820158810468,TPVF,3679.13,TRANSFERENCIA,1,2023-09-09,CONTADO DIAS,Martha Sandoval,2023-09-09,CONTADO DIAS,MST,Colombia,México,COLOMBIA,MÉXICO,False,False,0.0,15.0,0.4228759999999999,True,0.8499907587099159,3679.1,649.3
False,2023-09-15,800,7500.0,5332.5,799.88,0.15000093764650727,PAYBAY,4532.62,LINK DE PAGO,12,2024-04-01,APLAZADO,Julia Puente,2024-04-01,APLAZADO,MST,México,Chile,MÉXICO,CHILE,False,False,0.0,199.0,0.28900000000000003,False,0.0,0.0,5332.299999999998
False,2023-09-15,940,7500.0,4809.37,721.41,0.15000093567348738,PAYBAY,4087.96,LINK DE PAGO,14,2024-04-01,APLAZADO,Daniela Cabello,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,199.0,0.35875066666666666,False,0.0,0.0,4809.4
False,2023-09-15,940,7500.0,4809.37,721.42,0.15000301494790377,PAYBAY,4087.95,LINK DE PAGO,13,2024-02-01,APLAZADO,Víctor Feliz,2024-02-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,False,False,0.0,139.0,0.35875066666666666,False,0.0,0.0,4809.799999999999
False,2023-09-18,150,7500.0,4681.12,561.7,0.11999265133130534,PAYBAY,4119.42,LINK DE PAGO,14,2024-04-01,APLAZADO,Amanda Pedraza,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,196.0,0.37585066666666667,False,0.0,0.0,4680.599999999999
False,2023-07-10,100,7500.0,5343.75,801.56,0.14999953216374268,PAYBAY,4542.1900000000005,LINK DE PAGO,12,2023-10-01,APLAZADO,Maria Jacoste,2023-10-01,APLAZADO,MST,Estados Unidos,México,R. LATAM,MÉXICO,False,False,0.0,83.0,0.2875,True,1.0,5343.6,0.0
False,2023-09-20,990,13900.0,6950.0,695.0,0.1,PAYBAY,6255.0,LINK DE PAGO,14,2024-04-01,APLAZADO,Martha Sandoval,2024-04-01,APLAZADO,MBA,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,194.0,0.5,False,0.0,0.0,6950.1
False,2023-09-20,950,7500.0,5062.5,759.38,0.150000987654321,TARJETA,4303.12,TARJETA,12,2024-04-01,APLAZADO,Alejandro Paz,2024-04-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,True,True,0.0,194.0,0.32499999999999996,False,0.0,0.0,5062.6
False,2023-09-20,950,7500.0,5062.5,759.38,0.150000987654321,TARJETA,4303.12,LINK DE PAGO,12,2024-04-01,APLAZADO,Alejandro Paz,2024-04-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,False,False,0.0,194.0,0.32499999999999996,False,0.0,0.0,5062.6
False,2023-09-20,130,7500.0,4809.37,721.4,0.14999885639907098,0,4087.97,LINK DE PAGO,12,2024-04-01,APLAZADO,Silvia Campos,2024-04-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,False,False,0.0,194.0,0.35875066666666666,True,0.07083749168330007,340.7,4468.9
False,2023-09-21,700,7700.0,5066.0,759.9,0.15,PAYBAY,4306.1,LINK DE PAGO,12,2024-04-01,APLAZADO,Ligia Rodríguez,2024-04-01,APLAZADO,MST,Uruguay,Uruguay,VIP,VIP,False,False,0.0,193.0,0.3420779220779221,False,0.0,0.0,5065.6
False,2023-09-21,100,7500.0,4934.42,740.16,0.14999939202581053,PAYBAY,4194.26,LINK DE PAGO,1,2023-10-01,CONTADO DIAS,Alejandro Steinberg,2023-10-01,CONTADO DIAS,MST,Costa Rica,Costa Rica,COSTA RICA,COSTA RICA,False,False,0.0,10.0,0.34207733333333334,False,0.0,0.0,4934.5
False,2023-09-21,110,7500.0,5482.69,822.4,0.14999936162723043,PAYBAY,4660.29,LINK DE PAGO,12,2024-04-01,APLAZADO,Rosa Rodríguez,2024-04-01,APLAZADO,MST,Puerto Rico,Puerto Rico,VIP,VIP,False,False,0.0,193.0,0.2689746666666667,True,0.07767792858857096,291.3,3458.8000000000006
False,2023-09-25,810,7500.0,5065.87,759.9,0.15000384928946064,PAYBAY,4305.97,LINK DE PAGO,1,2024-04-01,CONTADO DIAS,Flor Rodríguez,2024-04-01,CONTADO DIAS,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,189.0,0.32455066666666665,False,0.0,0.0,5065.9
False,2023-09-25,720,7700.0,4937.62,740.64,0.1499993924198298,TARJETA,4196.98,TARJETA,12,2024-04-01,APLAZADO,Laura Parra,2024-04-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,True,True,0.0,189.0,0.3587506493506494,False,0.0,0.0,4938.100000000001
False,2023-09-25,750,7500.0,5076.56,761.48,0.1499992120648628,PAYBAY,4315.08,LINK DE PAGO,12,2024-04-01,APLAZADO,Alberto Viloria ,2024-04-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,False,0.0,189.0,0.32312533333333326,False,0.0,0.0,761.5
False,2023-09-25,750,7500.0,5076.56,761.48,0.1499992120648628,PAYBAY,4315.08,LINK DE PAGO,12,2024-04-01,APLAZADO,Alberto Viloria ,2024-04-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,False,0.0,189.0,0.32312533333333326,False,0.0,0.0,4315.1
False,2023-09-11,100,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TARJETA,12,2024-04-01,APLAZADO,Venecia Pedriquez,2024-04-01,APLAZADO,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,True,True,0.0,203.0,0.35875066666666666,False,0.0,0.0,4809.799999999998
False,2023-09-27,770,7500.0,4681.12,561.7,0.11999265133130534,PAYBAY,4119.42,LINK DE PAGO,18,2023-10-01,APLAZADO,Amanda Pedraza,2023-10-01,APLAZADO,MST,Nicaragua,Nicaragua,R. LATAM,R. LATAM,False,False,0.0,4.0,0.37585066666666667,False,0.0,0.0,4681.099999999999
False,2023-09-27,700,7700.0,5628.889999999999,844.3,0.14999404856019571,PAYBAY,4784.589999999999,LINK DE PAGO,12,2024-04-01,APLAZADO,Javiera Bruron,2024-04-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,False,0.0,187.0,0.2689753246753247,True,0.7791674809458666,4385.699999999999,1243.0
False,2023-09-27,130,7500.0,4809.37,721.4,0.14999885639907098,PAYBAY,4087.97,LINK DE PAGO,17,2023-11-01,APLAZADO,Julia Puente,2023-11-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,35.0,0.35875066666666666,False,0.0,0.0,4809.7
False,2023-09-27,950,7500.0,5062.5,759.38,0.150000987654321,PAYBAY,4303.12,LINK DE PAGO,12,2024-04-01,APLAZADO,Carlos Vazquez,2024-04-01,APLAZADO,MST,Bolivia,Bolivia,R. LATAM,R. LATAM,False,False,0.0,187.0,0.32499999999999996,False,0.0,0.0,5062.599999999999
False,2023-09-27,400,7500.0,5062.5,759.38,0.150000987654321,TARJETA,4303.12,TARJETA,12,2024-05-01,APLAZADO,Mery Chapler,2024-05-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,True,True,0.0,217.0,0.32499999999999996,True,0.7791648560028444,3944.5999999999995,1118.0
False,2023-09-29,130,7500.0,4809.4,721.4,0.14999792073855367,PAYBAY,4087.9999999999995,LINK DE PAGO,1,2024-04-01,CONTADO DIAS,Silvia Campos,2024-04-01,CONTADO DIAS,MST,Honduras,Honduras,VIP,VIP,False,False,0.0,185.0,0.35874666666666677,False,0.0,0.0,4809.4
False,2023-04-27,750,7500.0,5343.75,801.6,0.15000701754385964,PAYBAY,4542.15,LINK DE PAGO,12,2024-04-01,APLAZADO,Javier Vaquerizo,2024-04-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,False,False,0.0,340.0,0.2875,True,0.8581138487680543,4848.0,801.6
False,2023-10-02,130,7500.0,5400.0,810.0,0.15,PAYBAY,4590.0,LINK DE PAGO,12,2024-04-01,APLAZADO,Martha Sandoval,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,182.0,0.28,False,0.0,0.0,5400.0
False,2023-10-02,700,7700.0,5211.94,781.79,0.14999980813286415,TPVF,4430.15,LINK DE PAGO,15,2024-01-01,APLAZADO,María Gabriela Pan,2024-01-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,91.0,0.32312467532467537,False,0.0,0.0,5211.400000000001
False,2023-10-02,780,7700.0,5342.47,801.6,0.15004295765816186,TPVF,4540.87,LINK DE PAGO,12,2024-04-01,APLAZADO,Alexandra Pérez,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,182.0,0.30617272727272726,False,0.0,0.0,5342.400000000001
False,2023-10-02,720,7700.0,5069.29,760.39,0.14999930956800656,PAYBAY,4308.9,LINK DE PAGO,12,2024-05-01,APLAZADO,Paola Suárez,2024-05-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,212.0,0.34165064935064937,False,0.0,0.0,3992.2999999999997
False,2023-10-02,740,7500.0,5076.56,761.0,0.14990465984840126,PAYBAY,4315.56,TARJETA,12,2024-04-01,APLAZADO,Helena Reyes,2024-04-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,False,False,0.0,182.0,0.32312533333333326,False,0.0,0.0,5076.2
False,2023-06-16,500,7500.0,5343.75,801.6,0.15000701754385964,PAYBAY,4542.15,LINK DE PAGO,12,2023-10-01,APLAZADO,Martha Sandoval,2023-10-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,False,False,0.0,107.0,0.2875,True,0.8581138487680543,4848.0,801.6
False,2023-08-23,780,7500.0,4809.37,625.22,0.13000039506213912,PAYCOMET,4184.15,LINK DE PAGO,12,2023-10-01,APLAZADO,Franklin Morales,2023-10-01,APLAZADO,MST,Colombia,Estados Unidos,COLOMBIA,R. LATAM,False,False,0.0,39.0,0.35875066666666666,False,0.0,0.0,4809.2
False,2023-09-18,770,7500.0,4809.37,721.4,0.14999885639907098,TPVF,4087.97,LINK DE PAGO,12,2023-11-01,APLAZADO,Gabriela de Cordova,2023-11-01,APLAZADO,MST,Cuba,El Salvador,R. LATAM,VIP,False,False,0.0,44.0,0.35875066666666666,True,0.8500145536196931,4088.399999999999,721.4
False,2023-10-03,220,7500.0,5062.5,759.38,0.150000987654321,TARJETA,4303.12,TARJETA,1,2024-04-01,CONTADO DIAS,Alejandro Paz,2024-04-01,APLAZADO,MST,Colombia,Colombia,COLOMBIA,COLOMBIA,True,True,0.0,181.0,0.32499999999999996,False,0.0,0.0,5062.5
False,2023-10-04,400,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TARJETA,14,2024-03-01,APLAZADO,Gabriela de Cordova,2024-04-01,CONTADO DIAS,MST,El Salvador,El Salvador,VIP,VIP,True,True,-31.0,149.0,0.35875066666666666,False,0.0,0.0,4809.4
